period,time_step,WindOffshore,WindOnshore,Load,Price,Solar,LoadH2,Elasticity
32,1,0.72804878,0.452923077,11664.0,225.1,0.0,8130.0,3010.0
32,2,0.553658537,0.391807692,11206.0,200.8,0.0,8129.0,2804.0
32,3,0.539430894,0.365076923,10951.0,195.0,0.0,8129.0,2721.0
32,4,0.58495935,0.337076923,10848.0,179.9,0.0,8128.0,2646.0
32,5,0.517479675,0.325769231,10935.0,164.8,0.0,8127.0,2619.0
32,6,0.68495935,0.358461538,11408.0,162.19,0.0,8126.0,2723.0
32,7,0.735772358,0.390192308,12549.0,201.0,0.0,8125.0,3141.0
32,8,0.849593496,0.428730769,14130.0,238.0,0.0,8124.0,3709.0
32,9,0.869918699,0.495115385,15341.0,243.97,0.00015,8123.0,4058.0
32,10,0.87804878,0.5545,15811.0,262.0,0.00355,8122.0,4285.0
32,11,0.876422764,0.603269231,15754.0,225.0,0.0111,8121.0,4066.0
32,12,0.874390244,0.630730769,15697.0,222.0,0.01775,8121.0,4035.0
32,13,0.859349593,0.659576923,15558.0,186.0,0.0222,8120.0,3823.0
32,14,0.857317073,0.682153846,15279.0,200.0,0.024175,8119.0,3820.0
32,15,0.802845528,0.691884615,14992.0,180.0,0.023175,8118.0,3657.0
32,16,0.804878049,0.7035,15078.0,176.4,0.018575,8117.0,3661.0
32,17,0.862195122,0.724192308,15366.0,180.0,0.01175,8116.0,3748.0
32,18,0.862195122,0.756961538,16192.0,176.4,0.00435,8115.0,3932.0
32,19,0.862601626,0.778615385,16025.0,200.0,5.0e-5,8114.0,4006.0
32,20,0.860162602,0.784692308,15406.0,189.9,0.0,8114.0,3803.0
32,21,0.858130081,0.774576923,14601.0,184.07,0.0,8113.0,3579.0
32,22,0.863414634,0.7615,13772.0,149.9,0.0,8112.0,3240.0
32,23,0.86300813,0.744807692,12903.0,137.0,0.0,8111.0,2990.0
32,24,0.865447154,0.712769231,12174.0,121.44,0.0,8110.0,2771.0
116,1,0.703658537,0.298269231,10439.0,187.28,0.0,6993.0,2569.0
116,2,0.730894309,0.286692308,10178.0,192.43,0.0,6993.0,2521.0
116,3,0.603658537,0.274692308,10094.0,193.06,0.0,6993.0,2502.0
116,4,0.600406504,0.270115385,10115.0,196.59,0.0,6992.0,2518.0
116,5,0.535772358,0.264423077,10408.0,232.95,0.0,6992.0,2714.0
116,6,0.617073171,0.257730769,11313.0,219.9,0.0,6992.0,2900.0
116,7,0.578455285,0.250153846,12192.0,267.49,0.002175,6992.0,3329.0
116,8,0.519918699,0.241384615,12432.0,269.98,0.02845,6991.0,3406.0
116,9,0.428455285,0.225192308,11754.0,249.9,0.1073,6991.0,3134.0
116,10,0.339430894,0.195192308,10582.0,221.12,0.220525,6991.0,2717.0
116,11,0.285365854,0.171461538,9636.0,205.14,0.336125,6991.0,2425.0
116,12,0.215853659,0.153384615,9170.0,194.3,0.416025,6990.0,2276.0
116,13,0.144715447,0.141769231,8918.0,201.25,0.45585,6990.0,2233.0
116,14,0.135365854,0.133769231,8752.0,202.51,0.49435,6990.0,2195.0
116,15,0.156910569,0.136884615,8991.0,198.2,0.486725,6989.0,2243.0
116,16,0.126422764,0.166846154,9650.0,197.1,0.438675,6989.0,2404.0
116,17,0.161788618,0.201538462,10733.0,215.6,0.38835,6989.0,2737.0
116,18,0.16504065,0.221,11447.0,239.9,0.32705,6989.0,3012.0
116,19,0.182113821,0.198423077,12214.0,281.0,0.253325,6988.0,3397.0
116,20,0.194715447,0.175,12839.0,286.76,0.14905,6988.0,3600.0
116,21,0.153252033,0.153576923,12905.0,270.01,0.057975,6988.0,3536.0
116,22,0.126829268,0.1305,12256.0,255.0,0.004675,6988.0,3290.0
116,23,0.123170732,0.108653846,11651.0,219.18,0.0,6987.0,2984.0
116,24,0.12601626,0.086423077,11003.0,206.72,0.0,6987.0,2774.0
138,1,0.329674797,0.177461538,10884.0,187.89,0.0,6886.0,2680.0
138,2,0.358536585,0.171692308,10660.0,176.23,0.0,6886.0,2588.0
138,3,0.287804878,0.164884615,10552.0,170.98,0.0,6886.0,2546.0
138,4,0.352439024,0.159307692,10479.0,174.7,0.0,6885.0,2539.0
138,5,0.345934959,0.155615385,10578.0,179.61,0.0,6885.0,2579.0
138,6,0.247154472,0.149692308,10917.0,219.95,0.000325,6885.0,2799.0
138,7,0.274796748,0.136,11656.0,247.6,0.014675,6885.0,3098.0
138,8,0.191056911,0.126384615,11734.0,241.29,0.0575,6885.0,3093.0
138,9,0.124796748,0.114923077,11150.0,206.57,0.131225,6885.0,2811.0
138,10,0.090650407,0.0925,10220.0,179.17,0.2389,6885.0,2490.0
138,11,0.058130081,0.075346154,9553.0,171.6,0.343925,6885.0,2306.0
138,12,0.026829268,0.061884615,9206.0,174.66,0.428975,6884.0,2231.0
138,13,0.019105691,0.047,9178.0,177.03,0.48605,6884.0,2230.0
138,14,0.036178862,0.035923077,9546.0,158.94,0.523925,6884.0,2270.0
138,15,0.025203252,0.029653846,9898.0,175.19,0.534925,6884.0,2400.0
138,16,0.014634146,0.029576923,10430.0,193.1,0.51685,6884.0,2585.0
138,17,0.013821138,0.0315,11493.0,216.84,0.4612,6884.0,2935.0
138,18,0.025609756,0.029192308,12037.0,241.2,0.38295,6884.0,3173.0
138,19,0.028455285,0.021846154,12649.0,286.99,0.287375,6883.0,3548.0
138,20,0.056097561,0.021115385,13154.0,280.0,0.181525,6883.0,3654.0
138,21,0.084552846,0.023884615,13409.0,245.88,0.09,6883.0,3556.0
138,22,0.098780488,0.031,13107.0,225.73,0.02525,6883.0,3386.0
138,23,0.185772358,0.043653846,12415.0,194.47,0.0013,6883.0,3082.0
138,24,0.297560976,0.069884615,11552.0,196.96,0.0,6883.0,2877.0
230,1,0.110162602,0.041230769,10991.0,479.9,0.0,7118.0,4226.0
230,2,0.086585366,0.035692308,10769.0,480.0,0.0,7119.0,4142.0
230,3,0.093089431,0.033,10676.0,434.92,0.0,7119.0,3779.0
230,4,0.121138211,0.035192308,10724.0,414.05,0.0,7119.0,3660.0
230,5,0.16097561,0.038730769,10936.0,416.05,0.0,7120.0,3746.0
230,6,0.132520325,0.040807692,11382.0,550.0,0.0,7120.0,5059.0
230,7,0.117073171,0.037269231,11848.0,598.9,0.0005,7120.0,5908.0
230,8,0.111788618,0.035769231,11955.0,602.25,0.01765,7121.0,6011.0
230,9,0.091869919,0.037153846,11619.0,613.59,0.07885,7121.0,6014.0
230,10,0.087398374,0.037730769,11066.0,502.0,0.174975,7121.0,4444.0
230,11,0.067886179,0.039653846,10741.0,557.6,0.27535,7122.0,4856.0
230,12,0.04796748,0.041076923,10437.0,545.21,0.3476,7122.0,4590.0
230,13,0.01504065,0.038384615,10350.0,444.0,0.38525,7122.0,3723.0
230,14,0.013821138,0.035846154,10151.0,499.23,0.42245,7122.0,4054.0
230,15,0.015853659,0.036846154,10596.0,491.0,0.452275,7123.0,4163.0
230,16,0.01097561,0.046153846,10778.0,355.63,0.465425,7123.0,3345.0
230,17,0.009349593,0.060230769,11279.0,436.8,0.4136,7123.0,4005.0
230,18,0.012601626,0.068,11921.0,450.57,0.3458,7124.0,4339.0
230,19,0.012195122,0.057269231,12599.0,618.25,0.26305,7124.0,6601.0
230,20,0.01300813,0.052115385,13111.0,639.0,0.153575,7124.0,7264.0
230,21,0.01300813,0.050730769,13244.0,600.06,0.057225,7125.0,6623.0
230,22,0.036585366,0.050884615,12823.0,532.0,0.00345,7125.0,5480.0
230,23,0.127235772,0.052307692,12272.0,524.93,0.0,7125.0,5166.0
230,24,0.163414634,0.048615385,11616.0,510.09,0.0,7126.0,4742.0
271,1,0.233333333,0.0895,10454.0,275.78,0.0,7505.0,2887.0
271,2,0.19796748,0.0805,10190.0,245.94,0.0,7505.0,2703.0
271,3,0.395934959,0.073153846,10076.0,242.98,0.0,7506.0,2662.0
271,4,0.106504065,0.0645,9971.0,273.77,0.0,7506.0,2746.0
271,5,0.22804878,0.059153846,10224.0,307.13,0.0,7507.0,2951.0
271,6,0.192682927,0.055230769,11288.0,383.17,0.0,7507.0,3660.0
271,7,0.144715447,0.050269231,12788.0,472.63,0.0,7507.0,4850.0
271,8,0.267073171,0.046807692,13112.0,500.38,0.000225,7508.0,5249.0
271,9,0.231300813,0.041923077,11996.0,399.9,0.0435,7508.0,3998.0
271,10,0.233333333,0.033038462,10689.0,386.2,0.15985,7509.0,3483.0
271,11,0.298780488,0.027115385,9971.0,381.57,0.277675,7509.0,3225.0
271,12,0.241056911,0.022730769,9965.0,325.81,0.365375,7510.0,2956.0
271,13,0.193902439,0.019961538,10258.0,324.24,0.412775,7510.0,3036.0
271,14,0.13902439,0.017269231,10670.0,299.92,0.4512,7511.0,3048.0
271,15,0.103252033,0.016538462,11172.0,350.0,0.400925,7511.0,3438.0
271,16,0.095934959,0.017307692,11736.0,384.98,0.285125,7512.0,3816.0
271,17,0.081707317,0.018538462,12954.0,435.59,0.239,7512.0,4590.0
271,18,0.100813008,0.0175,13436.0,507.12,0.199375,7513.0,5452.0
271,19,0.049593496,0.012884615,13918.0,640.42,0.153575,7513.0,7741.0
271,20,0.019918699,0.010653846,13728.0,510.0,0.053675,7514.0,5603.0
271,21,0.01300813,0.009653846,13020.0,419.99,0.000425,7514.0,4490.0
271,22,0.017073171,0.009384615,12206.0,372.61,0.0,7514.0,3891.0
271,23,0.009349593,0.01,11487.0,361.8,0.0,7515.0,3600.0
271,24,0.026829268,0.010653846,10881.0,351.45,0.0,7515.0,3355.0
289,1,0.889430894,0.551,9681.0,70.99,0.0,7716.0,2084.0
289,2,0.886178862,0.532,9395.0,72.04,0.0,7716.0,2025.0
289,3,0.849593496,0.517653846,9241.0,68.75,0.0,7717.0,1985.0
289,4,0.850406504,0.510153846,9168.0,79.12,0.0,7717.0,1991.0
289,5,0.794308943,0.502615385,9174.0,73.1,0.0,7718.0,1980.0
289,6,0.722764228,0.497923077,9320.0,72.17,0.0,7718.0,2009.0
289,7,0.83495935,0.502192308,9829.0,75.95,0.0,7719.0,2127.0
289,8,0.86097561,0.503807692,10178.0,120.0,0.0,7719.0,2313.0
289,9,0.836178862,0.494576923,9784.0,100.06,0.0049,7720.0,2174.0
289,10,0.798373984,0.463846154,8811.0,90.27,0.0603,7720.0,1937.0
289,11,0.602439024,0.434730769,7977.0,85.02,0.17015,7721.0,1744.0
289,12,0.460162602,0.404307692,7668.0,51.01,0.2598,7722.0,1616.0
289,13,0.376422764,0.364346154,7440.0,14.49,0.340225,7722.0,1510.0
289,14,0.253658537,0.329846154,7602.0,83.9,0.373725,7723.0,1660.0
289,15,0.289837398,0.286653846,8491.0,114.7,0.3766,7723.0,1918.0
289,16,0.269512195,0.216115385,9884.0,98.9,0.348325,7724.0,2194.0
289,17,0.213821138,0.156076923,11524.0,167.24,0.28615,7724.0,2768.0
289,18,0.184146341,0.113769231,12398.0,196.13,0.1931,7725.0,3085.0
289,19,0.21097561,0.098307692,12513.0,223.62,0.077075,7725.0,3223.0
289,20,0.178861789,0.089846154,12066.0,177.07,0.00365,7726.0,2932.0
289,21,0.177235772,0.095423077,11479.0,144.96,0.0,7726.0,2685.0
289,22,0.345934959,0.134307692,10900.0,140.04,0.0,7727.0,2535.0
289,23,0.328861789,0.184769231,10302.0,134.55,0.0,7727.0,2381.0
289,24,0.298373984,0.238807692,9889.0,128.31,0.0,7728.0,2269.0
338,1,0.447560976,0.235038462,11074.0,310.0,0.0,8389.0,3210.0
338,2,0.38699187,0.24,10489.0,299.9,0.0,8390.0,2996.0
338,3,0.395934959,0.225615385,10242.0,286.0,0.0,8390.0,2869.0
338,4,0.474390244,0.224884615,10144.0,259.2,0.0,8391.0,2739.0
338,5,0.447154472,0.223538462,10086.0,276.0,0.0,8392.0,2786.0
338,6,0.460162602,0.222923077,10153.0,254.72,0.0,8392.0,2725.0
338,7,0.497560976,0.224961538,10338.0,273.8,0.0,8393.0,2847.0
338,8,0.472764228,0.225730769,10846.0,293.8,0.0,8393.0,3072.0
338,9,0.534552846,0.225884615,11638.0,300.5,0.0,8394.0,3328.0
338,10,0.628455285,0.227115385,12478.0,293.19,0.0004,8395.0,3531.0
338,11,0.666260163,0.233461538,12894.0,310.0,0.01675,8395.0,3737.0
338,12,0.522764228,0.242769231,13105.0,306.89,0.053125,8396.0,3782.0
338,13,0.491056911,0.254961538,13491.0,333.56,0.0784,8397.0,4049.0
338,14,0.466666667,0.271576923,13573.0,301.84,0.093375,8397.0,3888.0
338,15,0.481707317,0.285384615,13601.0,306.39,0.089825,8398.0,3922.0
338,16,0.493089431,0.289461538,13670.0,308.24,0.070225,8398.0,3952.0
338,17,0.53495935,0.294692308,14075.0,325.24,0.049675,8399.0,4172.0
338,18,0.534146341,0.302653846,14694.0,391.38,0.02105,8400.0,4829.0
338,19,0.532113821,0.310461538,14494.0,396.6,0.0016,8400.0,4804.0
338,20,0.51504065,0.318038462,14077.0,361.93,0.0,8401.0,4412.0
338,21,0.521138211,0.319461538,13613.0,299.4,0.0,8402.0,3886.0
338,22,0.518699187,0.303307692,13042.0,305.8,0.0,8402.0,3757.0
338,23,0.534552846,0.285230769,12326.0,299.1,0.0,8403.0,3517.0
338,24,0.523170732,0.267538462,11574.0,259.9,0.0,8403.0,3128.0
361,1,0.841463415,0.600538462,10549.0,42.0,0.0,8742.0,2202.0
361,2,0.893495935,0.603307692,10052.0,13.86,0.0,8743.0,2039.0
361,3,0.890650407,0.614615385,9784.0,9.51,0.0,8743.0,1976.0
361,4,0.832926829,0.601884615,9650.0,7.93,0.0,8744.0,1945.0
361,5,0.815447154,0.589076923,9710.0,33.0,0.0,8745.0,2008.0
361,6,0.74796748,0.562038462,10015.0,50.0,0.0,8745.0,2108.0
361,7,0.640243902,0.502384615,10802.0,120.0,0.0,8746.0,2455.0
361,8,0.523170732,0.4355,11766.0,211.0,0.0,8747.0,2983.0
361,9,0.452845528,0.371230769,12813.0,198.0,0.0,8747.0,3195.0
361,10,0.426422764,0.326807692,13055.0,247.8,0.0001,8748.0,3471.0
361,11,0.46504065,0.288461538,12454.0,235.63,0.023775,8749.0,3259.0
361,12,0.510162602,0.266538462,12044.0,179.2,0.11655,8749.0,2935.0
361,13,0.47398374,0.274153846,12118.0,170.55,0.224925,8750.0,2922.0
361,14,0.543902439,0.287115385,12384.0,130.1,0.264825,8751.0,2847.0
361,15,0.712601626,0.304961538,12901.0,139.08,0.249225,8751.0,2997.0
361,16,0.843495935,0.332538462,13424.0,143.32,0.188275,8752.0,3134.0
361,17,0.888617886,0.3635,14192.0,147.57,0.148475,8753.0,3330.0
361,18,0.930894309,0.410115385,15209.0,158.69,0.073625,8753.0,3616.0
361,19,0.936178862,0.486230769,14708.0,164.69,0.00345,8754.0,3522.0
361,20,0.937398374,0.557423077,14050.0,157.04,0.0,8755.0,3333.0
361,21,0.940243902,0.618538462,13379.0,147.56,0.0,8755.0,3139.0
361,22,0.933739837,0.671038462,12700.0,128.8,0.0,8756.0,2916.0
361,23,0.93699187,0.717115385,11996.0,107.84,0.0,8757.0,2689.0
361,24,0.929268293,0.750038462,11344.0,86.94,0.0,8757.0,2485.0
